101418,1530 HIGHWAY 50,O'FALLON,IL,,,,,,,,,,,,,,,,
101514,2201 MICHIGAN AVE,ARNOLD,MO,,,,,,,,,,,,,,,,
10201,2608 GREEN MOUNT COMMONS  DR,BELLEVILLE,IL,,,,,,,,,,,,,,,,
10253,1316 SOUTH STATE STREET,JERSEYVILLE,IL,,,,,,,,,,,,,,,,
10256,400 JUNCTION DR,GLEN CARBON,IL,,,,,,,,,,,,,,,,
102616,1307 HIGHWAY K,O'FALLON,MO,,,,,,,,,,,,,,,,
10328,961 NORTH MARKET STREET,WATERLOO,IL,,,,,,,,,,,,,,,,
10361,1040 COLLINSVILLE CROSSING,COLLINSVILLE,IL,,,,,,,,,,,,,,,,
104216,2802 OUTER ROAD DRIVE,MARION,IL,,,,,,,,,,,,,,,,
104222,1410 NORTH MARKET,SPARTA,IL,,,,,,,,,,,,,,,,
104252,215 GRANT WAY,DUQUOIN,IL,,,,,,,,,,,,,,,,
1043022,6495 COUNTRY CLUB ROAD,MURPHYSBORO,IL,,,,,,,,,,,,,,,,
10435,12495 STATE RTE 143,HIGHLAND,IL,,,,,,,,,,,,,,,,
1608554,3390 NORTH HIGHWAY 67,FLORISSANT,MO,,,,,,,,,,,,,,,,
1608566,7437 WATSON RD,SHREWSBURY,MO,,,,,,,,,,,,,,,,
1608641,HWY 150/2206 STATE S,CHESTER,IL,,,,,,,,,,,,,,,,
1608644,45 SUTTERS MILL RD,ST. PETERS,MO,,,,,,,,,,,,,,,,
1608645,3031 MID RIVERS MALL DR,ST. PETERS,MO,,,,,,,,,,,,,,,,
1608815,1101 BELTLINE RD,COLLINSVILLE,IL,,,,,,,,,,,,,,,,
1609039,100 OZARK DR ,CUBA,MO,,,,,,,,,,,,,,,,
235791,1900 MAPELWOOD COMMONS,MAPLEWOOD,MO,,,,,,,,,,,,,,,,
31684,2897 VETERANS MEMORIAL PKWY,ST CHARLES,MO,,,,,,,,,,,,,,,,
379999,379 WEST PONTOON RD,GRANITE CITY,IL,,,,,,,,,,,,,,,,
63699,201 HIGHLANDS BLVD DR,MANCHESTER,MO,,,,,,,,,,,,,,,,
1608619,475 Pearl Dr.,OFALLON,MO,,,,,,,,,,,,,,,,
1608680,1305 NORTH RUSSELL ST,MARION ,IL,,,,,,,,,,,,,,,,
1608681,787 MAPLE VALLEY DR,FARMINGTON,MO,,,,,,,,,,,,,,,,
1608682,#60 FENTON PLAZA,FENTON,MO ,,,,,,,,,,,,,,,,
