16473,1202 S KIRKWOOD RD,KIRKWOOD,MO
1001021,500 WARREN COUNTY CENTER,WARRENTON,MO
1001188,11900 ST CHARLES ROCK RD,BRIDGETON,MO
1001265,10741 WEST FLORISSANT AVE,ST LOUIS,MO
100145,3 TOWN CENTER DRIVE,BOWLING GREEN,MO
100152,12862 STATE ROAD 21,DESOTO,MO
100172,1701 A TROY DRIVE,WASHINGTON,MO
100173,1 MEMORIAL DRIVE,POTOSI,MO
100196,1450 EAST MAIN,CARBONDALE,IL
1002213,3270 TELEGRAPH ROAD,ST LOUIS,MO
100243,1971 WENTZVILLE PKWY,WENTZVILLE,MO
1002600,100 THF BLVD,CHESTERFIELD,MO
100262,919 GIACONE DRIVE,BENTON,IL
100295,131 EUREKA TWIN CENTER DR,EUREKA,MO
100313,2700 RIDGE POINT DR,HIGH RIDGE,MO
100354,1888 HWY 28 EAST,OWENSVILLE,MO
10037,101 HWY 47 EAST,TROY,MO
100377,701 WALTON DRIVE,FARMINGTON,MO
100436,2591 12TH STREET,CARLYLE,IL
1004695,6660 GODFREY RD,GODFREY,IL
1005313,6100 RONALD REAGAN DRIVE,LAKE ST LOUIS,MO
100648,1661 JUNGERMAN ROAD,ST PETERS,MO
10065,350 PARKRIDGE ROAD,SULLIVAN,MO
100653,653 GRAVOIS BLUFF BLVD,FENTON,MO
10069,650 SOUTH TRUMAN BLVD,FESTUS,MO
10095,407 NORTH STATE STREET,DESLOGE,MO
101071,610 WESLEY HIGHWAY 50,WOOD RIVER,IL
101418,1530 WEST HIGHWAY 50,O'FALLON,IL
101514,2201 MICHIGAN AVE,ARNOLD,MO
10201,2608 GREEN MOUNT COMMONS  DR,BELLEVILLE,IL
10253,1316 SOUTH STATE STREET,JERSEYVILLE,IL
10256,400 JUNCTION DR,GLEN CARBON,IL
102616,1307 HIGHWAY K,O'FALLON,MO
10328,961 NORTH MARKET STREET,WATERLOO,IL
10361,1040 COLLINSVILLE CROSSING,COLLINSVILLE,IL
104216,2802 OUTER ROAD DRIVE,MARION,IL
104222,1410 NORTH MARKET,SPARTA,IL
104252,215 GRANT WAY,DUQUOIN,IL
1043022,6495 COUNTRY CLUB ROAD,MURPHYSBORO,IL
10435,12495 STATE RTE 143,HIGHLAND,IL
1608554,3390 NORTH HIGHWAY 67,FLORISSANT,MO
1608566,7437 WATSON RD,SHREWSBURY,MO
1608641,HWY 150/2206 STATE S,CHESTER,IL
1608644,45 SUTTERS MILL RD,ST. PETERS,MO
1608645,3031 MID RIVERS MALL DR,ST. PETERS,MO
1608815,1101 BELTLINE RD,COLLINSVILLE,IL
1609039,100 OZARK DR ,CUBA,MO
235791,1900 MAPELWOOD COMMONS,MAPLEWOOD,MO
31684,2897 VETERANS MEMORIAL PKWY,ST CHARLES,MO
379999,379 WEST PONTOON RD,GRANITE CITY,IL
63699,201 HIGHLANDS BLVD DR,MANCHESTER,MO
