,0,1,2,3,FullAddress
0,101418,1530 HIGHWAY 50,O'FALLON,IL,1530 HIGHWAY 50 O'FALLON IL
1,101514,2201 MICHIGAN AVE,ARNOLD,MO,2201 MICHIGAN AVE ARNOLD MO
2,10201,2608 GREEN MOUNT COMMONS  DR,BELLEVILLE,IL,2608 GREEN MOUNT COMMONS  DR BELLEVILLE IL
3,10253,1316 SOUTH STATE STREET,JERSEYVILLE,IL,1316 SOUTH STATE STREET JERSEYVILLE IL
4,10256,400 JUNCTION DR,GLEN CARBON,IL,400 JUNCTION DR GLEN CARBON IL
5,102616,1307 HIGHWAY K,O'FALLON,MO,1307 HIGHWAY K O'FALLON MO
6,10328,961 NORTH MARKET STREET,WATERLOO,IL,961 NORTH MARKET STREET WATERLOO IL
7,10361,1040 COLLINSVILLE CROSSING,COLLINSVILLE,IL,1040 COLLINSVILLE CROSSING COLLINSVILLE IL
8,104216,2802 OUTER ROAD DRIVE,MARION,IL,2802 OUTER ROAD DRIVE MARION IL
9,104222,1410 NORTH MARKET,SPARTA,IL,1410 NORTH MARKET SPARTA IL
10,104252,215 GRANT WAY,DUQUOIN,IL,215 GRANT WAY DUQUOIN IL
11,1043022,6495 COUNTRY CLUB ROAD,MURPHYSBORO,IL,6495 COUNTRY CLUB ROAD MURPHYSBORO IL
12,10435,12495 STATE RTE 143,HIGHLAND,IL,12495 STATE RTE 143 HIGHLAND IL
13,1608554,3390 NORTH HIGHWAY 67,FLORISSANT,MO,3390 NORTH HIGHWAY 67 FLORISSANT MO
14,1608566,7437 WATSON RD,SHREWSBURY,MO,7437 WATSON RD SHREWSBURY MO
15,1608641,HWY 150/2206 STATE S,CHESTER,IL,HWY 150/2206 STATE S CHESTER IL
16,1608644,45 SUTTERS MILL RD,ST. PETERS,MO,45 SUTTERS MILL RD ST. PETERS MO
17,1608645,3031 MID RIVERS MALL DR,ST. PETERS,MO,3031 MID RIVERS MALL DR ST. PETERS MO
18,1608815,1101 BELTLINE RD,COLLINSVILLE,IL,1101 BELTLINE RD COLLINSVILLE IL
19,1609039,100 OZARK DR ,CUBA,MO,100 OZARK DR  CUBA MO
20,235791,1900 MAPELWOOD COMMONS,MAPLEWOOD,MO,1900 MAPELWOOD COMMONS MAPLEWOOD MO
21,31684,2897 VETERANS MEMORIAL PKWY,ST CHARLES,MO,2897 VETERANS MEMORIAL PKWY ST CHARLES MO
22,379999,379 WEST PONTOON RD,GRANITE CITY,IL,379 WEST PONTOON RD GRANITE CITY IL
23,63699,201 HIGHLANDS BLVD DR,MANCHESTER,MO,201 HIGHLANDS BLVD DR MANCHESTER MO
24,1608619,475 Pearl Dr.,OFALLON,MO,475 Pearl Dr. OFALLON MO
25,1608680,1305 NORTH RUSSELL ST,MARION ,IL,1305 NORTH RUSSELL ST MARION  IL
26,1608681,787 MAPLE VALLEY DR,FARMINGTON,MO,787 MAPLE VALLEY DR FARMINGTON MO
27,1608682,#60 FENTON PLAZA,FENTON,MO ,#60 FENTON PLAZA FENTON MO 
28,1608683,1505 HERITAGE HILLS DR,WASHINGTON ,MO,1505 HERITAGE HILLS DR WASHINGTON  MO
29,1608684,10800 BELLEFONTAINE RD,BELLEFONTAINE,MO,10800 BELLEFONTAINE RD BELLEFONTAINE MO
30,1608685,464 HAWK RIDGE TRAIL,LAKE ST. LOUIS,MO,464 HAWK RIDGE TRAIL LAKE ST. LOUIS MO
31,1608686,1708 NORTH ILLINOIS,SWANSEA,IL,1708 NORTH ILLINOIS SWANSEA IL
32,1608687,2154 MICHIGAN AVE,ARNOLD ,MO ,2154 MICHIGAN AVE ARNOLD  MO 
33,1608688,700 SOUTH TRUMAN BLVD,CRYSTAL CITY,MO,700 SOUTH TRUMAN BLVD CRYSTAL CITY MO
34,1608689,1635 WEST US HWY 50,O'FALLON,IL,1635 WEST US HWY 50 O'FALLON IL
35,1608690,320 PARK RIDGE RD,SULLIVAN,MO,320 PARK RIDGE RD SULLIVAN MO
36,1608691,6601 GRAVOIS,ST. LOUIS,MO,6601 GRAVOIS ST. LOUIS MO
37,1608692,14654 MANCHESTER,BALLWIN,MO,14654 MANCHESTER BALLWIN MO
38,1608693,2822 HOMER ADAMS PARKWAY,ALTON ,IL,2822 HOMER ADAMS PARKWAY ALTON  IL
39,1608694,8615 VETERANS MEMORIAL DR,O'FALLON,MO,8615 VETERANS MEMORIAL DR O'FALLON MO
40,1608695,1033 LEMAY FERRY RD,LEMAY,MO,1033 LEMAY FERRY RD LEMAY MO
41,1608696,1412 SCHAEFFER RD,GRANITE CITY,IL,1412 SCHAEFFER RD GRANITE CITY IL
42,1608697,11745 OLIVE BLVD,CREVE COEUR,MO,11745 OLIVE BLVD CREVE COEUR MO
43,1608698,1335 BASS PRO DR,SAINT CHARLES,MO,1335 BASS PRO DR SAINT CHARLES MO
44,1608699,343 MID RIVERS DRIVE,ST. PETERS,MO,343 MID RIVERS DRIVE ST. PETERS MO
45,1608700,2505 NORTH HIGHWAY 67,FLORISSANT,MO,2505 NORTH HIGHWAY 67 FLORISSANT MO
46,1608701,1233 CAMP JACKSON RD,CAHOKIA,IL,1233 CAMP JACKSON RD CAHOKIA IL
47,1608702,#6 THE PLAZA,TROY,MO,#6 THE PLAZA TROY MO
48,1608703,1250 NORTH MARKET ST,SPARTA ,IL,1250 NORTH MARKET ST SPARTA  IL
49,1608704,11296 WEST FLORISSANT,FLORISSANT,MO,11296 WEST FLORISSANT FLORISSANT MO
50,1608705,12290 ST. CHARLES ROCK ROAD,BRIDGETON,MO,12290 ST. CHARLES ROCK ROAD BRIDGETON MO
51,1608706,21 ADAMS AVE ,FERGUSON,MO,21 ADAMS AVE  FERGUSON MO
52,1608707,1232 EAST MAIN,CARBONDALE ,IL,1232 EAST MAIN CARBONDALE  IL
53,1608708,12145 MANCHESTER RD,DES PERES,MO,12145 MANCHESTER RD DES PERES MO
54,1608709,9759 ST. CHARLES ROCK RD,OVERLAND,MO,9759 ST. CHARLES ROCK RD OVERLAND MO
