,0,key,street,city,state,full_address,long,lat
0,0,16473,1202 S KIRKWOOD RD,KIRKWOOD,MO,1202 S KIRKWOOD RD KIRKWOOD MO,-90.4027996,38.56277360000001
1,1,1001021,500 WARREN COUNTY CENTER,WARRENTON,MO,500 WARREN COUNTY CENTER WARRENTON MO,-91.1420265,38.8232879
2,2,1001188,11900 ST CHARLES ROCK RD,BRIDGETON,MO,11900 ST CHARLES ROCK RD BRIDGETON MO,-90.4187038,38.7449076
3,3,1001265,10741 WEST FLORISSANT AVE,ST LOUIS,MO,10741 WEST FLORISSANT AVE ST LOUIS MO,-90.28357559999999,38.7660872
4,4,100145,3 TOWN CENTER DRIVE,BOWLING GREEN,MO,3 TOWN CENTER DRIVE BOWLING GREEN MO,-91.1820122,39.3311236
5,5,100152,12862 STATE ROAD 21,DESOTO,MO,12862 STATE ROAD 21 DESOTO MO,-90.57533169999999,38.1500208
6,6,100172,1701 A TROY DRIVE,WASHINGTON,MO,1701 A TROY DRIVE WASHINGTON MO,-90.9949143,38.54087550000001
7,7,100173,1 MEMORIAL DRIVE,POTOSI,MO,1 MEMORIAL DRIVE POTOSI MO,-90.7715544,37.9237851
8,8,100196,1450 EAST MAIN,CARBONDALE,IL,1450 EAST MAIN CARBONDALE IL,-89.1869656,37.7385821
9,9,1002213,3270 TELEGRAPH ROAD,ST LOUIS,MO,3270 TELEGRAPH ROAD ST LOUIS MO,-90.2963576,38.4947943
10,10,100243,1971 WENTZVILLE PKWY,WENTZVILLE,MO,1971 WENTZVILLE PKWY WENTZVILLE MO,-90.87913309999999,38.8143096
11,11,1002600,100 THF BLVD,CHESTERFIELD,MO,100 THF BLVD CHESTERFIELD MO,-90.5917599,38.6659413
12,12,100262,919 GIACONE DRIVE,BENTON,IL,919 GIACONE DRIVE BENTON IL,-88.9367473,38.000975
13,13,100295,131 EUREKA TWIN CENTER DR,EUREKA,MO,131 EUREKA TWIN CENTER DR EUREKA MO,-90.6565466,38.5061022
14,14,100313,2700 RIDGE POINT DR,HIGH RIDGE,MO,2700 RIDGE POINT DR HIGH RIDGE MO,-90.52179489999999,38.4619844
15,15,100354,1888 HWY 28 EAST,OWENSVILLE,MO,1888 HWY 28 EAST OWENSVILLE MO,-91.48169469999999,38.3531785
16,16,10037,101 HWY 47 EAST,TROY,MO,101 HWY 47 EAST TROY MO,-90.9819174,38.9886119
17,17,100377,701 WALTON DRIVE,FARMINGTON,MO,701 WALTON DRIVE FARMINGTON MO,-90.4353239,37.7894861
18,18,100436,2591 12TH STREET,CARLYLE,IL,2591 12TH STREET CARLYLE IL,-89.3767706,38.62953600000001
19,19,1004695,6660 GODFREY RD,GODFREY,IL,6660 GODFREY RD GODFREY IL,-90.19457899999999,38.9646885
20,20,1005313,6100 RONALD REAGAN DRIVE,LAKE ST LOUIS,MO,6100 RONALD REAGAN DRIVE LAKE ST LOUIS MO,-90.786594,38.7718829
21,21,100648,1661 JUNGERMAN ROAD,ST PETERS,MO,1661 JUNGERMAN ROAD ST PETERS MO,-90.5887482,38.7448322
22,22,10065,350 PARKRIDGE ROAD,SULLIVAN,MO,350 PARKRIDGE ROAD SULLIVAN MO,-91.1546463,38.2207758
23,23,100653,653 GRAVOIS BLUFF BLVD,FENTON,MO,653 GRAVOIS BLUFF BLVD FENTON MO,-90.4388905,38.5093152
24,24,10069,650 SOUTH TRUMAN BLVD,FESTUS,MO,650 SOUTH TRUMAN BLVD FESTUS MO,-90.3886678,38.2121024
25,25,10095,407 NORTH STATE STREET,DESLOGE,MO,407 NORTH STATE STREET DESLOGE MO,-90.5132306,37.8837689
26,26,101071,610 WESLEY HIGHWAY 50,WOOD RIVER,IL,610 WESLEY HIGHWAY 50 WOOD RIVER IL,-90.070359,38.870207
27,27,101418,1530 WEST HIGHWAY 50,O'FALLON,IL,1530 WEST HIGHWAY 50 O'FALLON IL,-89.953982,38.5947949
28,28,101514,2201 MICHIGAN AVE,ARNOLD,MO,2201 MICHIGAN AVE ARNOLD MO,-90.37904739999999,38.4365381
29,29,10201,2608 GREEN MOUNT COMMONS  DR,BELLEVILLE,IL,2608 GREEN MOUNT COMMONS  DR BELLEVILLE IL,-89.9230192,38.5219637
30,30,10253,1316 SOUTH STATE STREET,JERSEYVILLE,IL,1316 SOUTH STATE STREET JERSEYVILLE IL,-90.31867299999999,39.1035161
31,31,10256,400 JUNCTION DR,GLEN CARBON,IL,400 JUNCTION DR GLEN CARBON IL,-89.9524688,38.7757424
32,32,102616,1307 HIGHWAY K,O'FALLON,MO,1307 HIGHWAY K O'FALLON MO,-90.7025153,38.7939242
33,33,10328,961 NORTH MARKET STREET,WATERLOO,IL,961 NORTH MARKET STREET WATERLOO IL,-90.1572007,38.3589877
34,34,10361,1040 COLLINSVILLE CROSSING,COLLINSVILLE,IL,1040 COLLINSVILLE CROSSING COLLINSVILLE IL,-90.0181088,38.6752208
35,35,104216,2802 OUTER ROAD DRIVE,MARION,IL,2802 OUTER ROAD DRIVE MARION IL,-88.9716035,37.7481988
36,36,104222,1410 NORTH MARKET,SPARTA,IL,1410 NORTH MARKET SPARTA IL,-89.7017431,38.1415714
37,37,104252,215 GRANT WAY,DUQUOIN,IL,215 GRANT WAY DUQUOIN IL,-89.2381034,37.9975133
38,38,1043022,6495 COUNTRY CLUB ROAD,MURPHYSBORO,IL,6495 COUNTRY CLUB ROAD MURPHYSBORO IL,-89.28309279999999,37.7596276
39,39,10435,12495 STATE RTE 143,HIGHLAND,IL,12495 STATE RTE 143 HIGHLAND IL,-89.6836776,38.7609329
40,40,1608554,3390 NORTH HIGHWAY 67,FLORISSANT,MO,3390 NORTH HIGHWAY 67 FLORISSANT MO,-90.2928242,38.8113545
41,41,1608566,7437 WATSON RD,SHREWSBURY,MO,7437 WATSON RD SHREWSBURY MO,-90.32792979999999,38.5802312
42,42,1608641,HWY 150/2206 STATE S,CHESTER,IL,HWY 150/2206 STATE S CHESTER IL,-89.80445569999999,37.9254371
43,43,1608644,45 SUTTERS MILL RD,ST. PETERS,MO,45 SUTTERS MILL RD ST. PETERS MO,-90.5802435,38.7788145
44,44,1608645,3031 MID RIVERS MALL DR,ST. PETERS,MO,3031 MID RIVERS MALL DR ST. PETERS MO,-90.6260424,38.7734279
45,45,1608815,1101 BELTLINE RD,COLLINSVILLE,IL,1101 BELTLINE RD COLLINSVILLE IL,-89.986738,38.6927855
46,46,1609039,100 OZARK DR ,CUBA,MO,100 OZARK DR  CUBA MO,-91.4018911,38.0732525
47,47,235791,1900 MAPELWOOD COMMONS,MAPLEWOOD,MO,1900 MAPELWOOD COMMONS MAPLEWOOD MO,-90.3310159,38.6213799
48,48,31684,2897 VETERANS MEMORIAL PKWY,ST CHARLES,MO,2897 VETERANS MEMORIAL PKWY ST CHARLES MO,-90.5267252,38.7820166
49,49,379999,379 WEST PONTOON RD,GRANITE CITY,IL,379 WEST PONTOON RD GRANITE CITY IL,-90.14145429999999,38.7365698
50,50,63699,201 HIGHLANDS BLVD DR,MANCHESTER,MO,201 HIGHLANDS BLVD DR MANCHESTER MO,-90.50673479999999,38.5959966
