Donor / Item Receiving Statistics,,,,,,,,,,,,,,,6/22/2020 6:59 PM,,,,,
ST LOUIS AREA FOODBANK,,,,,,,,,,,,,,,,,Page,1,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FA\WBESHORE,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Search Name: FRESH THYME|TARGET|WM|COSTCO*|SAM'S*|ALDI|RULER*|KROGER, Date Filter: 04/01/20..04/30/20",,,,,,,,,,,,,,,,,,,,
Posting Date: 05/01/20..05/31/20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Donor No.,,Donor Name,,,,,,,,,,,,,,,,,,
,Document No.,Item No.,Description,,Order No.,UNC Product Category,UNC Product Source,Posting Date,Lot No.,Pallet No.,Expiration Date,Quantity,,Unit of Measure,,Ext. Gross Weight,,,,
016473,,"WALMART 2694, 1202 S KIRKWOOD RD, KIRKWOOD, MO  63122   Tel#: 314-835-9406  Contact: LARRY/TRACY/TIM",,,,,,,,,,,,,,,,,,
,DOR81831-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/4/2020,352708,,12/31/9999,515.,,LB,,515.,,,,
,DOR81924-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/6/2020,353246,,12/31/9999,215.,,LB,,215.,,,,
,DOR81996-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/8/2020,353392,,12/31/9999,865.,,LB,,865.,,,,
,DOR82122-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/11/2020,353764,,12/31/9999,515.,,LB,,515.,,,,
,DOR82325-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/15/2020,354665,,12/31/9999,"1,020.",,LB,,"1,020.",,,,
,DOR82400-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/18/2020,354896,,12/31/9999,615.,,LB,,615.,,,,
,DOR82620-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/22/2020,355751,,12/31/9999,845.,,LB,,845.,,,,
,DOR82716-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/27/2020,355955,,12/31/9999,555.,,LB,,555.,,,,
,DOR82815-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/29/2020,356420,,12/31/9999,610.,,LB,,610.,,,,
,DOR81831-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/4/2020,352709,,12/31/9999,445.,,LB,,445.,,,,
,DOR81924-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/6/2020,353247,,12/31/9999,305.,,LB,,305.,,,,
,DOR81996-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/8/2020,353393,,12/31/9999,195.,,LB,,195.,,,,
,DOR82122-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/11/2020,353765,,12/31/9999,430.,,LB,,430.,,,,
,DOR82325-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/15/2020,354666,,12/31/9999,385.,,LB,,385.,,,,
,DOR82400-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/18/2020,354897,,12/31/9999,435.,,LB,,435.,,,,
,DOR82620-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/22/2020,355752,,12/31/9999,405.,,LB,,405.,,,,
,DOR82669-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/26/2020,355840,,12/31/9999,890.,,LB,,890.,,,,
,DOR82815-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/29/2020,356421,,12/31/9999,325.,,LB,,325.,,,,
,DOR81831-1R,40670,"RETAIL, NON FOOD",,,RETAILWHSL,A2H LOCAL,5/4/2020,352710,,12/31/9999,380.,,LB,,380.,,,,
,,,,,,,,,,Donor Total,,"9,950.",,,,"9,950.",,,,
1001021,,"WALMART 1021, 500 WARREN COUNTY CENTER, WARRENTON, MO  63383   Tel#: 636-456-4600  Contact: ",,,,,,,,,,,,,,,,,,
,MCD0033561-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/8/2020,353495,,12/31/9999,138.,,LB,,138.,,,,
,MCD0033775-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/15/2020,354488,,12/31/9999,130.,,LB,,130.,,,,
,MCD0033968-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/22/2020,355413,,12/31/9999,215.,,LB,,215.,,,,
,MCD0034181-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/29/2020,356289,,12/31/9999,185.,,LB,,185.,,,,
,MCD0033561-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,5/8/2020,353493,,12/31/9999,32.,,LB,,32.,,,,
,MCD0033775-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,5/15/2020,354486,,12/31/9999,59.,,LB,,59.,,,,
,MCD0033968-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,5/22/2020,355411,,12/31/9999,45.,,LB,,45.,,,,
,MCD0034181-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,5/29/2020,356287,,12/31/9999,110.,,LB,,110.,,,,
,MCD0033561-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/8/2020,353494,,12/31/9999,292.,,LB,,292.,,,,
,MCD0033775-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/15/2020,354487,,12/31/9999,290.,,LB,,290.,,,,
,MCD0033968-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/22/2020,355412,,12/31/9999,340.,,LB,,340.,,,,
,MCD0034181-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/29/2020,356288,,12/31/9999,260.,,LB,,260.,,,,
,MCD0033561-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,5/8/2020,353492,,12/31/9999,64.,,LB,,64.,,,,
,MCD0033775-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,5/15/2020,354485,,12/31/9999,115.,,LB,,115.,,,,
,MCD0033968-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,5/22/2020,355410,,12/31/9999,55.,,LB,,55.,,,,
,MCD0034181-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,5/29/2020,356286,,12/31/9999,165.,,LB,,165.,,,,
,,,,,,,,,,Donor Total,,"2,495.",,,,"2,495.",,,,
1001188,,"WALMART 1188, 11900 ST CHARLES ROCK RD, BRIDGETON, MO  63044   Tel#: 314-291-2300  Contact: KIM",,,,,,,,,,,,,,,,,,
,DOR81772-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/1/2020,352511,,12/31/9999,320.,,LB,,320.,,,,
,DOR81833-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/4/2020,352712,,12/31/9999,295.,,LB,,295.,,,,
,DOR81925-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/6/2020,353248,,12/31/9999,315.,,LB,,315.,,,,
,DOR81997-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/8/2020,353394,,12/31/9999,480.,,LB,,480.,,,,
,DOR82124-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/11/2020,353768,,12/31/9999,560.,,LB,,560.,,,,
,DOR82240-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/13/2020,354152,,12/31/9999,200.,,LB,,200.,,,,
,DOR82328-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/15/2020,354670,,12/31/9999,515.,,LB,,515.,,,,
,DOR82401-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/18/2020,354898,,12/31/9999,600.,,LB,,600.,,,,
,DOR82485-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/20/2020,355106,,12/31/9999,440.,,LB,,440.,,,,
,DOR82623-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/22/2020,355757,,12/31/9999,95.,,LB,,95.,,,,
,DOR82768-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/28/2020,356143,,12/31/9999,385.,,LB,,385.,,,,
,DOR82817-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/29/2020,356423,,12/31/9999,405.,,LB,,405.,,,,
,DOR82401-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,5/18/2020,354899,,12/31/9999,150.,,LB,,150.,,,,
,DOR81772-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/1/2020,352512,,12/31/9999,295.,,LB,,295.,,,,
,DOR81833-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/4/2020,352713,,12/31/9999,395.,,LB,,395.,,,,
,DOR81997-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/8/2020,353395,,12/31/9999,430.,,LB,,430.,,,,
,DOR82124-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/11/2020,353769,,12/31/9999,155.,,LB,,155.,,,,
,DOR82240-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/13/2020,354153,,12/31/9999,165.,,LB,,165.,,,,
,DOR82328-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/15/2020,354671,,12/31/9999,145.,,LB,,145.,,,,
,DOR82485-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/20/2020,355107,,12/31/9999,220.,,LB,,220.,,,,
,DOR82623-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/22/2020,355759,,12/31/9999,165.,,LB,,165.,,,,
,DOR82768-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/28/2020,356144,,12/31/9999,685.,,LB,,685.,,,,
,DOR82817-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,5/29/2020,356424,,12/31/9999,255.,,LB,,255.,,,,
,DOR81772-1R,40670,"RETAIL, NON FOOD",,,RETAILWHSL,A2H LOCAL,5/1/2020,352513,,12/31/9999,415.,,LB,,415.,,,,
,DOR81925-1R,40670,"RETAIL, NON FOOD",,,RETAILWHSL,A2H LOCAL,5/6/2020,353249,,12/31/9999,330.,,LB,,330.,,,,
,DOR81997-1R,40670,"RETAIL, NON FOOD",,,RETAILWHSL,A2H LOCAL,5/8/2020,353396,,12/31/9999,135.,,LB,,135.,,,,
,DOR82623-1R,40670,"RETAIL, NON FOOD",,,RETAILWHSL,A2H LOCAL,5/22/2020,355760,,12/31/9999,330.,,LB,,330.,,,,
,DOR82623-1R,40693,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,5/22/2020,355758,,12/31/9999,225.,,LB,,225.,,,,
,,,,,,,,,,Donor Total,,"9,105.",,,,"9,105.",,,,
1001265,,"WALMART 1265, 10741 WEST FLORISSANT AVE, ST LOUIS, MO  63136   Tel#: 314-521-3422  Contact: ",,,,,,,,,,,,,,,,,,
,DOR81773-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/1/2020,352514,,12/31/9999,185.,,LB,,185.,,,,
,DOR81834-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/4/2020,352714,,12/31/9999,25.,,LB,,25.,,,,
,DOR81926-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,5/6/2020,353250,,12/31/9999,245.,,LB,,245.,,,,
