Donor / Item Receiving Statistics,,,,,,,,,,,,,,,5/19/2020 8:56 AM,,,,,
ST LOUIS AREA FOODBANK,,,,,,,,,,,,,,,,,Page,1,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FA\WBESHORE,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Search Name: FRESH THYME|WM|COSTCO|SAM'S*|KROGER|RULER*|TARGET|ALDI|SAL, Date Filter: 03/01/19..03/31/19",,,,,,,,,,,,,,,,,,,,
Posting Date: 08/01/19..08/31/19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Donor No.,,Donor Name,,,,,,,,,,,,,,,,,,
,Document No.,Item No.,Description,,Order No.,UNC Product Category,UNC Product Source,Posting Date,Lot No.,Pallet No.,Expiration Date,Quantity,,Unit of Measure,,Ext. Gross Weight,,,,
016473,,"WALMART 2694, 1202 S KIRKWOOD RD, KIRKWOOD, MO  63122   Tel#: 314-835-9406  Contact: LARRY/TRACY/TIM",,,,,,,,,,,,,,,,,,
,DOR72902-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/2/2019,308587,,12/31/9999,485.,,LB,,485.,,,,
,DOR72968-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/5/2019,308854,,12/31/9999,855.,,LB,,855.,,,,
,DOR73051-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/7/2019,309348,,12/31/9999,199.,,LB,,199.,,,,
,DOR73051-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/7/2019,309350,,12/31/9999,180.,,LB,,180.,,,,
,DOR73145-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/9/2019,309982,,12/31/9999,425.,,LB,,425.,,,,
,DOR73198-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/12/2019,310085,,12/31/9999,940.,,LB,,940.,,,,
,DOR73270-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/13/2019,310423,,12/31/9999,125.,,LB,,125.,,,,
,DOR73291-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/14/2019,310461,,12/31/9999,275.,,LB,,275.,,,,
,DOR73365-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/16/2019,311039,,12/31/9999,740.,,LB,,740.,,,,
,DOR73430-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/19/2019,311450,,12/31/9999,720.,,LB,,720.,,,,
,DOR73483-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/20/2019,311591,,12/31/9999,178.,,LB,,178.,,,,
,DOR73510-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/21/2019,311728,,12/31/9999,560.,,LB,,560.,,,,
,DOR73667-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/30/2019,312864,,12/31/9999,205.,,LB,,205.,,,,
,DOR73667-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/30/2019,312865,,12/31/9999,140.,,LB,,140.,,,,
,DOR72968-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/5/2019,308855,,12/31/9999,285.,,LB,,285.,,,,
,DOR73051-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/7/2019,309349,,12/31/9999,89.,,LB,,89.,,,,
,DOR73145-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/9/2019,309983,,12/31/9999,275.,,LB,,275.,,,,
,DOR73270-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/13/2019,310424,,12/31/9999,80.,,LB,,80.,,,,
,DOR73365-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/16/2019,311040,,12/31/9999,225.,,LB,,225.,,,,
,DOR73483-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/20/2019,311592,,12/31/9999,80.,,LB,,80.,,,,
,DOR73051-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/7/2019,309351,,12/31/9999,90.,,LB,,90.,,,,
,DOR73145-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/9/2019,309984,,12/31/9999,135.,,LB,,135.,,,,
,,,,,,,,,,Donor Total,,"7,286.",,,,"7,286.",,,,
1000000,,"SAVE A LOT KITCHEN, 400 NORTHWEST PLAZA DR, ST. ANN, MO  63074   Tel#: 314-592-9481  Contact: Stephanie Shepard",,,,,,,,,,,,,,,,,,
,DOR73737-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/30/2019,313535,,12/31/9999,60.,,LB,,60.,,,,
,DOR72903-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/2/2019,308588,,12/31/9999,200.,,LB,,200.,,,,
,DOR73146-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/9/2019,309985,,12/31/9999,615.,,LB,,615.,,,,
,DOR73366-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/16/2019,311042,,12/31/9999,300.,,LB,,300.,,,,
,DOR73737-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/30/2019,313537,,12/31/9999,705.,,LB,,705.,,,,
,DOR73366-1R,40670,"RETAIL, NON FOOD",,,RETAILWHSL,A2H LOCAL,8/16/2019,311043,,12/31/9999,35.,,LB,,35.,,,,
,DOR73366-1R,40693,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,8/16/2019,311041,,12/31/9999,10.,,LB,,10.,,,,
,DOR73737-1R,40693,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,8/30/2019,313536,,12/31/9999,255.,,LB,,255.,,,,
,,,,,,,,,,Donor Total,,"2,180.",,,,"2,180.",,,,
10000421,,"SAVE A LOT 421, 6840 PAGE, ST LOUIS, MO  63133   Tel#: 314-726-2184  Contact: CINDY/ANN",,,,,,,,,,,,,,,,,,
,MCD0023400-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/20/2019,311373,,12/31/9999,10.,,LB,,10.,,,,
,MCD0023400-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/20/2019,311374,,12/31/9999,30.,,LB,,30.,,,,
,MCD0023668-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/27/2019,312423,,12/31/9999,30.,,LB,,30.,,,,
,MCD0023400-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,8/20/2019,311375,,12/31/9999,5.,,LB,,5.,,,,
,MCD0023668-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,8/27/2019,312424,,12/31/9999,60.,,LB,,60.,,,,
,,,,,,,,,,Donor Total,,135.,,,,135.,,,,
1000404,,"SAVE A LOT 404, 3427 S JEFFERSON, ST LOUIS, MO  63118   Tel#: 314-773-2210  Contact: BILL/NICKI",,,,,,,,,,,,,,,,,,
,MCD0023816-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/20/2019,313112,,12/31/9999,35.,,LB,,35.,,,,
,,,,,,,,,,Donor Total,,35.,,,,35.,,,,
1000405,,"SAVE A LOT 405, 3160 TELEGRAPH RD, ST LOUIS, MO  63125   Tel#: 314-487-2656  Contact: CORY",,,,,,,,,,,,,,,,,,
,MCD0023038-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/10/2019,309767,,12/31/9999,165.,,LB,,165.,,,,
,MCD0023267-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/16/2019,310850,,12/31/9999,177.,,LB,,177.,,,,
,MCD0023543-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/24/2019,312038,,12/31/9999,40.,,LB,,40.,,,,
,MCD0023038-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/10/2019,309766,,12/31/9999,366.,,LB,,366.,,,,
,MCD0023264-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/16/2019,310844,,12/31/9999,305.,,LB,,305.,,,,
,MCD0023267-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/16/2019,310849,,12/31/9999,498.,,LB,,498.,,,,
,MCD0023543-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/24/2019,312039,,12/31/9999,612.,,LB,,612.,,,,
,MCD0023856-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/30/2019,313169,,12/31/9999,661.,,LB,,661.,,,,
,MCD0023267-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,8/16/2019,310848,,12/31/9999,60.,,LB,,60.,,,,
,MCD0023856-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,8/30/2019,313168,,12/31/9999,159.,,LB,,159.,,,,
,,,,,,,,,,Donor Total,,"3,043.",,,,"3,043.",,,,
1000407,,"SAVE A LOT 407, 2980 HOMER ADAMS, ALTON, IL  62002   Tel#: 618-462-9950  Contact: ERIN/MISSY/LINDA",,,,,,,,,,,,,,,,,,
,MCD0022897-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/6/2019,309177,,12/31/9999,116.,,LB,,116.,,,,
,MCD0023001-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/9/2019,309688,,12/31/9999,172.,,LB,,172.,,,,
,MCD0023281-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/16/2019,310885,,12/31/9999,162.,,LB,,162.,,,,
,MCD0023663-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/27/2019,312415,,12/31/9999,288.,,LB,,288.,,,,
,MCD0023881-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,8/30/2019,313238,,12/31/9999,154.,,LB,,154.,,,,
,MCD0022897-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/6/2019,309175,,12/31/9999,35.,,LB,,35.,,,,
,MCD0023281-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/16/2019,310882,,12/31/9999,48.,,LB,,48.,,,,
,MCD0023881-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,8/30/2019,313237,,12/31/9999,16.,,LB,,16.,,,,
,MCD0022897-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/6/2019,309176,,12/31/9999,144.,,LB,,144.,,,,
,MCD0023001-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/9/2019,309687,,12/31/9999,104.,,LB,,104.,,,,
,MCD0023281-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/16/2019,310884,,12/31/9999,104.,,LB,,104.,,,,
,MCD0023663-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,8/27/2019,312414,,12/31/9999,84.,,LB,,84.,,,,
,MCD0022897-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,8/6/2019,309178,,12/31/9999,9.,,LB,,9.,,,,
,MCD0023281-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,8/16/2019,310883,,12/31/9999,14.,,LB,,14.,,,,
,MCD0023881-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,8/30/2019,313236,,12/31/9999,81.,,LB,,81.,,,,
,,,,,,,,,,Donor Total,,"1,531.",,,,"1,531.",,,,
1000408,,"SAVE A LOT 408, 3102 WEST CLAY, ST CHARLES, MO  63301   Tel#: 636-947-6073  Contact: RON",,,,,,,,,,,,,,,,,,
