Donor / Item Receiving Statistics,,,,,,,,,,,,,,,5/19/2020 8:49 AM,,,,,
ST LOUIS AREA FOODBANK,,,,,,,,,,,,,,,,,Page,1,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FA\WBESHORE,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Search Name: FRESH THYME|WM|COSTCO|SAM'S*|KROGER|RULER*|TARGET|ALDI|SAL, Date Filter: 03/01/19..03/31/19",,,,,,,,,,,,,,,,,,,,
Posting Date: 12/01/19..12/31/19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Donor No.,,Donor Name,,,,,,,,,,,,,,,,,,
,Document No.,Item No.,Description,,Order No.,UNC Product Category,UNC Product Source,Posting Date,Lot No.,Pallet No.,Expiration Date,Quantity,,Unit of Measure,,Ext. Gross Weight,,,,
016473,,"WALMART 2694, 1202 S KIRKWOOD RD, KIRKWOOD, MO  63122   Tel#: 314-835-9406  Contact: LARRY/TRACY/TIM",,,,,,,,,,,,,,,,,,
,DOR76852-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/3/2019,329729,,12/31/9999,550.,,LB,,550.,,,,
,DOR76973-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/6/2019,330600,,12/31/9999,915.,,LB,,915.,,,,
,DOR77023-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/9/2019,330718,,12/31/9999,935.,,LB,,935.,,,,
,DOR77113-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/11/2019,331077,,12/31/9999,960.,,LB,,960.,,,,
,DOR77224-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/13/2019,331785,,12/31/9999,875.,,LB,,875.,,,,
,DOR77323-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/18/2019,332088,,12/31/9999,"1,005.",,LB,,"1,005.",,,,
,DOR77569-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/27/2019,333438,,12/31/9999,765.,,LB,,765.,,,,
,DOR76852-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/3/2019,329730,,12/31/9999,200.,,LB,,200.,,,,
,DOR76973-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/6/2019,330601,,12/31/9999,45.,,LB,,45.,,,,
,DOR77023-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/9/2019,330719,,12/31/9999,105.,,LB,,105.,,,,
,DOR77224-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/13/2019,331786,,12/31/9999,80.,,LB,,80.,,,,
,DOR77569-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/27/2019,333439,,12/31/9999,190.,,LB,,190.,,,,
,DOR76852-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/3/2019,329731,,12/31/9999,550.,,LB,,550.,,,,
,DOR77523-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/26/2019,333114,,12/31/9999,"2,508.",,LB,,"2,508.",,,,
,DOR77569-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/27/2019,333440,,12/31/9999,205.,,LB,,205.,,,,
,DOR77569-1R,40670,"RETAIL, NON FOOD",,,RETAILWHSL,A2H LOCAL,12/27/2019,333441,,12/31/9999,28.,,LB,,28.,,,,
,,,,,,,,,,Donor Total,,"9,916.",,,,"9,916.",,,,
1000000,,"SAVE A LOT KITCHEN, 400 NORTHWEST PLAZA DR, ST. ANN, MO  63074   Tel#: 314-592-9481  Contact: Stephanie Shepard",,,,,,,,,,,,,,,,,,
,DOR76974-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/6/2019,330602,,12/31/9999,90.,,LB,,90.,,,,
,DOR76974-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/6/2019,330603,,12/31/9999,30.,,LB,,30.,,,,
,DOR77570-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/27/2019,333442,,12/31/9999,260.,,LB,,260.,,,,
,DOR76974-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/6/2019,330604,,12/31/9999,320.,,LB,,320.,,,,
,DOR77402-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/20/2019,332557,,12/31/9999,"1,275.",,LB,,"1,275.",,,,
,DOR77570-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/27/2019,333443,,12/31/9999,240.,,LB,,240.,,,,
,,,,,,,,,,Donor Total,,"2,215.",,,,"2,215.",,,,
10000421,,"SAVE A LOT 421, 6840 PAGE, ST LOUIS, MO  63133   Tel#: 314-726-2184  Contact: CINDY/ANN",,,,,,,,,,,,,,,,,,
,MCD0028193-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/17/2019,331772,,12/31/9999,20.,,LB,,20.,,,,
,MCD0027769-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/3/2019,329974,,12/31/9999,55.,,LB,,55.,,,,
,MCD0027962-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/10/2019,330931,,12/31/9999,30.,,LB,,30.,,,,
,MCD0028193-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/17/2019,331771,,12/31/9999,45.,,LB,,45.,,,,
,MCD0027769-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/3/2019,329975,,12/31/9999,35.,,LB,,35.,,,,
,MCD0027962-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/10/2019,330932,,12/31/9999,45.,,LB,,45.,,,,
,MCD0028193-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/17/2019,331773,,12/31/9999,50.,,LB,,50.,,,,
,MCD0027769-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,12/3/2019,329976,,12/31/9999,56.,,LB,,56.,,,,
,MCD0027962-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,12/10/2019,330933,,12/31/9999,100.,,LB,,100.,,,,
,MCD0028193-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,12/17/2019,331774,,12/31/9999,65.,,LB,,65.,,,,
,,,,,,,,,,Donor Total,,501.,,,,501.,,,,
1000404,,"SAVE A LOT 404, 3427 S JEFFERSON, ST LOUIS, MO  63118   Tel#: 314-773-2210  Contact: BILL/NICKI",,,,,,,,,,,,,,,,,,
,MCD0027735-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/3/2019,329854,,12/31/9999,35.,,LB,,35.,,,,
,MCD0027735-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/3/2019,329855,,12/31/9999,13.,,LB,,13.,,,,
,MCD0027950-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/10/2019,330912,,12/31/9999,280.,,LB,,280.,,,,
,MCD0028182-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/16/2019,331736,,12/31/9999,5.,,LB,,5.,,,,
,,,,,,,,,,Donor Total,,333.,,,,333.,,,,
1000405,,"SAVE A LOT 405, 3160 TELEGRAPH RD, ST LOUIS, MO  63125   Tel#: 314-487-2656  Contact: CORY",,,,,,,,,,,,,,,,,,
,MCD0027812-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/6/2019,330203,,12/31/9999,114.,,LB,,114.,,,,
,MCD0028329-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/20/2019,332426,,12/31/9999,100.,,LB,,100.,,,,
,MCD0027812-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/6/2019,330201,,12/31/9999,649.,,LB,,649.,,,,
,MCD0028329-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/20/2019,332423,,12/31/9999,557.,,LB,,557.,,,,
,MCD0028526-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/27/2019,333284,,12/31/9999,287.,,LB,,287.,,,,
,MCD0027812-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/6/2019,330202,,12/31/9999,417.,,LB,,417.,,,,
,MCD0028127-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/14/2019,331571,,12/31/9999,734.,,LB,,734.,,,,
,MCD0028329-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/20/2019,332424,,12/31/9999,75.,,LB,,75.,,,,
,MCD0028526-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/27/2019,333285,,12/31/9999,144.,,LB,,144.,,,,
,MCD0028329-1R,41543,"RETAIL, NON FOOD",,,RETAILWHSL,A2H LOCAL,12/20/2019,332425,,12/31/9999,63.,,LB,,63.,,,,
,MCD0028127-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,12/14/2019,331570,,12/31/9999,478.,,LB,,478.,,,,
,,,,,,,,,,Donor Total,,"3,618.",,,,"3,618.",,,,
1000407,,"SAVE A LOT 407, 2980 HOMER ADAMS, ALTON, IL  62002   Tel#: 618-462-9950  Contact: ERIN/MISSY/LINDA",,,,,,,,,,,,,,,,,,
,MCD0027835-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/6/2019,330277,,12/31/9999,272.,,LB,,272.,,,,
,MCD0028106-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/13/2019,331475,,12/31/9999,100.,,LB,,100.,,,,
,MCD0028304-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/20/2019,332367,,12/31/9999,20.,,LB,,20.,,,,
,MCD0027835-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/6/2019,330275,,12/31/9999,320.,,LB,,320.,,,,
,MCD0028106-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/13/2019,331473,,12/31/9999,168.,,LB,,168.,,,,
,MCD0028304-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,12/20/2019,332365,,12/31/9999,141.,,LB,,141.,,,,
,MCD0027835-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/6/2019,330276,,12/31/9999,128.,,LB,,128.,,,,
,MCD0028106-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/13/2019,331474,,12/31/9999,140.,,LB,,140.,,,,
,MCD0028304-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,12/20/2019,332366,,12/31/9999,88.,,LB,,88.,,,,
,MCD0027835-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,12/6/2019,330274,,12/31/9999,20.,,LB,,20.,,,,
,MCD0028304-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,12/20/2019,332368,,12/31/9999,80.,,LB,,80.,,,,
,,,,,,,,,,Donor Total,,"1,477.",,,,"1,477.",,,,
1000408,,"SAVE A LOT 408, 3102 WEST CLAY, ST CHARLES, MO  63301   Tel#: 636-947-6073  Contact: RON",,,,,,,,,,,,,,,,,,
,MCD0027731-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/4/2019,329847,,12/31/9999,33.,,LB,,33.,,,,
,MCD0028763-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,12/31/2019,200354,,12/31/9999,47.,,LB,,47.,,,,
