Donor / Item Receiving Statistics,,,,,,,,,,,,,,,5/19/2020 8:48 AM,,,,,
ST LOUIS AREA FOODBANK,,,,,,,,,,,,,,,,,Page,1,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FA\WBESHORE,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Search Name: FRESH THYME|WM|COSTCO|SAM'S*|KROGER|RULER*|TARGET|ALDI|SAL, Date Filter: 03/01/19..03/31/19",,,,,,,,,,,,,,,,,,,,
Posting Date: 01/01/20..01/31/20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Donor No.,,Donor Name,,,,,,,,,,,,,,,,,,
,Document No.,Item No.,Description,,Order No.,UNC Product Category,UNC Product Source,Posting Date,Lot No.,Pallet No.,Expiration Date,Quantity,,Unit of Measure,,Ext. Gross Weight,,,,
016473,,"WALMART 2694, 1202 S KIRKWOOD RD, KIRKWOOD, MO  63122   Tel#: 314-835-9406  Contact: LARRY/TRACY/TIM",,,,,,,,,,,,,,,,,,
,DOR77709-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/1/2020,200851,,12/31/9999,"1,140.",,LB,,"1,140.",,,,
,DOR77885-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/3/2020,334141,,12/31/9999,980.,,LB,,980.,,,,
,DOR77933-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/6/2020,334252,,12/31/9999,910.,,LB,,910.,,,,
,DOR78121-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/13/2020,334764,,12/31/9999,485.,,LB,,485.,,,,
,DOR78189-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/15/2020,334924,,12/31/9999,825.,,LB,,825.,,,,
,DOR78319-1R,40667,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/21/2020,335607,,12/31/9999,328.,,LB,,328.,,,,
,DOR78189-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/15/2020,334925,,12/31/9999,445.,,LB,,445.,,,,
,DOR78509-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/27/2020,336565,,12/31/9999,505.,,LB,,505.,,,,
,DOR78267-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/17/2020,335497,,12/31/9999,391.,,LB,,391.,,,,
,DOR78348-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/22/2020,335770,,12/31/9999,580.,,LB,,580.,,,,
,DOR78441-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/24/2020,336279,,12/31/9999,405.,,LB,,405.,,,,
,DOR78509-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/27/2020,336566,,12/31/9999,595.,,LB,,595.,,,,
,DOR78589-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/29/2020,337000,,12/31/9999,485.,,LB,,485.,,,,
,DOR78682-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/31/2020,337889,,12/31/9999,"1,015.",,LB,,"1,015.",,,,
,DOR77709-1R,40670,"RETAIL, NON FOOD",,,RETAILWHSL,A2H LOCAL,1/1/2020,200852,,12/31/9999,45.,,LB,,45.,,,,
,DOR78319-1R,40670,"RETAIL, NON FOOD",,,RETAILWHSL,A2H LOCAL,1/21/2020,335608,,12/31/9999,80.,,LB,,80.,,,,
,,,,,,,,,,Donor Total,,"9,214.",,,,"9,214.",,,,
1000000,,"SAVE A LOT KITCHEN, 400 NORTHWEST PLAZA DR, ST. ANN, MO  63074   Tel#: 314-592-9481  Contact: Stephanie Shepard",,,,,,,,,,,,,,,,,,
,DOR78268-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/17/2020,335498,,12/31/9999,125.,,LB,,125.,,,,
,DOR78683-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/31/2020,337890,,12/31/9999,40.,,LB,,40.,,,,
,DOR77886-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/3/2020,334142,,12/31/9999,435.,,LB,,435.,,,,
,DOR78076-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/10/2020,334657,,12/31/9999,395.,,LB,,395.,,,,
,DOR78268-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/17/2020,335499,,12/31/9999,405.,,LB,,405.,,,,
,DOR78442-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/24/2020,336280,,12/31/9999,625.,,LB,,625.,,,,
,DOR78683-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/31/2020,337891,,12/31/9999,295.,,LB,,295.,,,,
,,,,,,,,,,Donor Total,,"2,320.",,,,"2,320.",,,,
10000421,,"SAVE A LOT 421, 6840 PAGE, ST LOUIS, MO  63133   Tel#: 314-726-2184  Contact: CINDY/ANN",,,,,,,,,,,,,,,,,,
,MCD0028930-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/7/2020,200909,,12/31/9999,25.,,LB,,25.,,,,
,MCD0029195-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/14/2020,333966,,12/31/9999,30.,,LB,,30.,,,,
,MCD0028930-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/7/2020,200908,,12/31/9999,10.,,LB,,10.,,,,
,MCD0029195-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/14/2020,333965,,12/31/9999,25.,,LB,,25.,,,,
,MCD0029728-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/28/2020,336848,,12/31/9999,15.,,LB,,15.,,,,
,MCD0028930-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/7/2020,200910,,12/31/9999,30.,,LB,,30.,,,,
,MCD0029195-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/14/2020,333967,,12/31/9999,30.,,LB,,30.,,,,
,MCD0029426-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/21/2020,335666,,12/31/9999,30.,,LB,,30.,,,,
,MCD0029426-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/21/2020,335667,,12/31/9999,15.,,LB,,15.,,,,
,MCD0029728-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/28/2020,336849,,12/31/9999,45.,,LB,,45.,,,,
,MCD0028930-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,1/7/2020,200911,,12/31/9999,35.,,LB,,35.,,,,
,MCD0029195-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,1/14/2020,333968,,12/31/9999,35.,,LB,,35.,,,,
,MCD0029426-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,1/21/2020,335668,,12/31/9999,30.,,LB,,30.,,,,
,MCD0029728-1R,41544,"RETAIL, DAIRY",,,RETAILWHSL,A2H LOCAL,1/28/2020,336850,,12/31/9999,35.,,LB,,35.,,,,
,,,,,,,,,,Donor Total,,390.,,,,390.,,,,
1000404,,"SAVE A LOT 404, 3427 S JEFFERSON, ST LOUIS, MO  63118   Tel#: 314-773-2210  Contact: BILL/NICKI",,,,,,,,,,,,,,,,,,
,MCD0029735-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/28/2020,336862,,12/31/9999,7.,,LB,,7.,,,,
,,,,,,,,,,Donor Total,,7.,,,,7.,,,,
1000405,,"SAVE A LOT 405, 3160 TELEGRAPH RD, ST LOUIS, MO  63125   Tel#: 314-487-2656  Contact: CORY",,,,,,,,,,,,,,,,,,
,DOR77737-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/1/2020,200983,,12/31/9999,834.,,LB,,834.,,,,
,DOR77741-1R,40668,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/1/2020,201055,,12/31/9999,834.,,LB,,834.,,,,
,DOR77737-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/1/2020,200984,,12/31/9999,365.,,LB,,365.,,,,
,DOR77741-1R,40669,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/1/2020,201056,,12/31/9999,365.,,LB,,365.,,,,
,MCD0029055-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/10/2020,201339,,12/31/9999,188.,,LB,,188.,,,,
,MCD0029055-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/10/2020,201337,,12/31/9999,198.,,LB,,198.,,,,
,MCD0029484-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/23/2020,335941,,12/31/9999,87.,,LB,,87.,,,,
,MCD0029516-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/24/2020,336075,,12/31/9999,461.,,LB,,461.,,,,
,MCD0029858-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/31/2020,337428,,12/31/9999,137.,,LB,,137.,,,,
,MCD0028886-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/6/2020,200754,,12/31/9999,568.,,LB,,568.,,,,
,MCD0029055-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/10/2020,201338,,12/31/9999,744.,,LB,,744.,,,,
,MCD0029484-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/23/2020,335942,,12/31/9999,222.,,LB,,222.,,,,
,MCD0029516-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/24/2020,336076,,12/31/9999,235.,,LB,,235.,,,,
,MCD0029858-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/31/2020,337429,,12/31/9999,356.,,LB,,356.,,,,
,,,,,,,,,,Donor Total,,"5,594.",,,,"5,594.",,,,
1000407,,"SAVE A LOT 407, 2980 HOMER ADAMS, ALTON, IL  62002   Tel#: 618-462-9950  Contact: ERIN/MISSY/LINDA",,,,,,,,,,,,,,,,,,
,MCD0029168-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/14/2020,333861,,12/31/9999,62.,,LB,,62.,,,,
,MCD0030077-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/17/2020,338103,,12/31/9999,27.,,LB,,27.,,,,
,MCD0030076-1R,41539,"RETAIL, PRODUCE",,,RETAILWHSL,A2H LOCAL,1/31/2020,338099,,12/31/9999,145.,,LB,,145.,,,,
,MCD0028924-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/7/2020,200891,,12/31/9999,845.,,LB,,845.,,,,
,MCD0029168-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/14/2020,333859,,12/31/9999,111.,,LB,,111.,,,,
,MCD0030077-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/17/2020,338101,,12/31/9999,126.,,LB,,126.,,,,
,MCD0030076-1R,41541,"RETAIL, MEAT AND DELI",,,RETAILWHSL,A2H LOCAL,1/31/2020,338097,,12/31/9999,429.,,LB,,429.,,,,
,MCD0028924-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/7/2020,200892,,12/31/9999,35.,,LB,,35.,,,,
,MCD0029168-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/14/2020,333860,,12/31/9999,29.,,LB,,29.,,,,
,MCD0030077-1R,41542,"RETAIL, MIX FOOD",,,RETAILWHSL,A2H LOCAL,1/17/2020,338102,,12/31/9999,178.,,LB,,178.,,,,
