,key,street,city,state,full_address,long,lat
0,101418,1530 HIGHWAY 50,O'FALLON,IL,1530 HIGHWAY 50 O'FALLON IL,-89.953982,38.5947949
1,101514,2201 MICHIGAN AVE,ARNOLD,MO,2201 MICHIGAN AVE ARNOLD MO,-90.37904739999999,38.4365381
2,10201,2608 GREEN MOUNT COMMONS  DR,BELLEVILLE,IL,2608 GREEN MOUNT COMMONS  DR BELLEVILLE IL,-89.9230192,38.5219637
3,10253,1316 SOUTH STATE STREET,JERSEYVILLE,IL,1316 SOUTH STATE STREET JERSEYVILLE IL,-90.31867299999999,39.1035161
4,10256,400 JUNCTION DR,GLEN CARBON,IL,400 JUNCTION DR GLEN CARBON IL,-89.9524688,38.7757424
5,102616,1307 HIGHWAY K,O'FALLON,MO,1307 HIGHWAY K O'FALLON MO,-90.7025153,38.7939242
6,10328,961 NORTH MARKET STREET,WATERLOO,IL,961 NORTH MARKET STREET WATERLOO IL,-90.1572007,38.3589877
7,10361,1040 COLLINSVILLE CROSSING,COLLINSVILLE,IL,1040 COLLINSVILLE CROSSING COLLINSVILLE IL,-90.0181088,38.6752208
8,104216,2802 OUTER ROAD DRIVE,MARION,IL,2802 OUTER ROAD DRIVE MARION IL,-88.9716035,37.7481988
9,104222,1410 NORTH MARKET,SPARTA,IL,1410 NORTH MARKET SPARTA IL,-89.7017431,38.1415714
10,104252,215 GRANT WAY,DUQUOIN,IL,215 GRANT WAY DUQUOIN IL,-89.2381034,37.9975133
11,1043022,6495 COUNTRY CLUB ROAD,MURPHYSBORO,IL,6495 COUNTRY CLUB ROAD MURPHYSBORO IL,-89.28309279999999,37.7596276
12,10435,12495 STATE RTE 143,HIGHLAND,IL,12495 STATE RTE 143 HIGHLAND IL,-89.6836776,38.7609329
13,1608554,3390 NORTH HIGHWAY 67,FLORISSANT,MO,3390 NORTH HIGHWAY 67 FLORISSANT MO,-90.2928242,38.8113545
14,1608566,7437 WATSON RD,SHREWSBURY,MO,7437 WATSON RD SHREWSBURY MO,-90.32792979999999,38.5802312
15,1608641,HWY 150/2206 STATE S,CHESTER,IL,HWY 150/2206 STATE S CHESTER IL,-89.8043958,37.9254794
16,1608644,45 SUTTERS MILL RD,ST. PETERS,MO,45 SUTTERS MILL RD ST. PETERS MO,-90.5802435,38.7788145
17,1608645,3031 MID RIVERS MALL DR,ST. PETERS,MO,3031 MID RIVERS MALL DR ST. PETERS MO,-90.6260424,38.7734279
18,1608815,1101 BELTLINE RD,COLLINSVILLE,IL,1101 BELTLINE RD COLLINSVILLE IL,-89.986738,38.6927855
19,1609039,100 OZARK DR ,CUBA,MO,100 OZARK DR  CUBA MO,-91.4018911,38.0732525
20,235791,1900 MAPELWOOD COMMONS,MAPLEWOOD,MO,1900 MAPELWOOD COMMONS MAPLEWOOD MO,-90.3310159,38.6213799
21,31684,2897 VETERANS MEMORIAL PKWY,ST CHARLES,MO,2897 VETERANS MEMORIAL PKWY ST CHARLES MO,-90.5267252,38.7820166
22,379999,379 WEST PONTOON RD,GRANITE CITY,IL,379 WEST PONTOON RD GRANITE CITY IL,-90.14145429999999,38.7365698
23,63699,201 HIGHLANDS BLVD DR,MANCHESTER,MO,201 HIGHLANDS BLVD DR MANCHESTER MO,-90.50673479999999,38.5959966
24,1608619,475 Pearl Dr.,OFALLON,MO,475 Pearl Dr. OFALLON MO,-90.6538699,38.8103005
25,1608680,1305 NORTH RUSSELL ST,MARION ,IL,1305 NORTH RUSSELL ST MARION  IL,-88.9411571,37.741914
